OBJECTID,Neighbourhood,F2020_Population_Projection,Assault_2020,Assault_Rate2020,AutoTheft_2020,AutoTheft_Rate2020,BreakAndEnter_2020,BreakAndEnter_Rate2020,Robbery_2020,Robbery_Rate2020,Shootings_2020,Shootings_Rate2020,Shape__Area,Shape__Length
1,Yonge-St.Clair,14083,23,163.3175,9,63.90684,26,184.6198,5,35.5038,0,0,1161314.752,5873.270507
2,York University Heights,30277,341,1126.267,184,607.722,105,346.7979,47,155.2334,12,3.963405,13246655.97,18504.77762
3,Lansing-Westgate,18146,97,534.553,44,242.4777,39,214.9234,11,60.61942,1,0.5510857,5346185.874,11112.10942
4,Yorkdale-Glen Park,17560,156,888.3827,87,495.4442,81,461.2756,40,227.7904,14,7.972665,6038325.943,10079.42684
5,Stonegate-Queensway,27410,104,379.4236,45,164.1737,35,127.6906,20,72.96607,0,0,7946201.714,11853.1898
6,Tam O'Shanter-Sullivan,29970,131,437.1038,37,123.4568,54,180.1802,18,60.06006,2,0.667334,5422344.643,10750.46829
7,The Beaches,23364,84,359.5275,23,98.44205,66,282.4859,6,25.68053,0,0,3595829.086,11275.18128
8,Thistletown-Beaumond Heights,10948,56,511.5089,43,392.7658,10,91.34088,9,82.20679,1,0.9134088,3339481.016,10828.44427
9,Thorncliffe Park,23518,94,399.6938,20,85.04124,41,174.3345,5,21.26031,9,3.826856,3126553.824,7502.70932
10,Danforth East York,18427,56,303.9019,16,86.82911,33,179.085,9,48.84137,0,0,2188597.654,7623.857803
11,Humewood-Cedarvale,15854,42,264.9174,23,145.0738,49,309.0703,6,37.84534,0,0,1871263.387,6036.268177
12,Islington-City Centre West,51481,222,431.2271,150,291.3696,99,192.304,35,67.98624,4,0.7769857,16239688.69,20311.92939
13,Danforth,10353,65,627.8373,7,67.61325,40,386.3615,19,183.5217,0,0,1119664.698,6233.172595
14,Rustic,10756,60,557.8282,21,195.2399,14,130.1599,8,74.37709,6,5.578282,2096348.766,5888.97165
15,Scarborough Village,18116,178,982.5569,23,126.9596,28,154.5595,17,93.8397,2,1.103997,3151015.083,7922.764491
